,Popularity,Sentiment,ETH,LTC,XRP,ETC,DASH,XMR,BCH,BTC
Popularity,1.0,-0.23956024647588273,-0.022159842268883637,0.012452782021520016,0.04773004422706636,0.01070833967988837,0.037677917001417253,-0.00816309461527977,,-0.010025861113966352
Sentiment,-0.23956024647588273,1.0,0.08557991912525026,0.033374962438642054,0.05554050688972612,0.05090891736723169,0.011897305253623864,0.046605416223119485,,-0.007867637798633632
ETH,-0.022159842268883637,0.08557991912525026,1.0,-0.06465218973099343,0.08562989924170024,-0.18199144593698316,0.12269514558941512,0.08721563505263215,,-0.006502147713525529
LTC,0.012452782021520016,0.033374962438642054,-0.06465218973099343,1.0,0.053711700504775806,-0.13107858347747325,-0.012193831341402978,0.12947480150376375,,0.7501741922358187
XRP,0.04773004422706636,0.05554050688972612,0.08562989924170024,0.053711700504775806,1.0,-0.054094971208141725,0.08865653149107139,0.027649262753178278,,0.04416146608286971
ETC,0.01070833967988837,0.05090891736723169,-0.18199144593698316,-0.13107858347747325,-0.054094971208141725,1.0,0.003991520557545119,-0.10589794169024835,,-0.1705377720329954
DASH,0.037677917001417253,0.011897305253623864,0.12269514558941512,-0.012193831341402978,0.08865653149107139,0.003991520557545119,1.0,0.12153747874406338,,-0.01403984517623101
XMR,-0.00816309461527977,0.046605416223119485,0.08721563505263215,0.12947480150376375,0.027649262753178278,-0.10589794169024835,0.12153747874406338,1.0,,0.12751950082620203
BCH,,,,,,,,,,
BTC,-0.010025861113966352,-0.007867637798633632,-0.006502147713525529,0.7501741922358187,0.04416146608286971,-0.1705377720329954,-0.01403984517623101,0.12751950082620203,,1.0
