just_date,Popularity,Sentiment,date
2013-08-08,94,-0.3291505791505791,2013-08-08
2013-08-12,106,-0.21621621621621617,2013-08-12
2013-08-13,45,-0.1042471042471042,2013-08-13
2013-08-20,36,-0.25965250965250963,2013-08-20
2013-08-22,38,-0.4131274131274131,2013-08-22
2013-08-27,812,-0.16449207828518173,2013-08-27
2013-09-05,677,-0.2731660231660231,2013-09-05
2013-09-28,102,-0.18918918918918917,2013-09-28
2013-10-29,109,0.3098455598455597,2013-10-29
2013-11-03,734,0.017374517374517312,2013-11-03
2013-11-13,46,-0.027992277992277992,2013-11-13
2013-11-14,89,-0.3571428571428571,2013-11-14
2013-11-16,47,-0.2239382239382239,2013-11-16
2013-11-18,275,-0.1848473148473148,2013-11-18
2013-11-19,334,-0.23027593461725193,2013-11-19
2013-11-20,394,-0.011583011583011532,2013-11-20
2013-11-21,107,-0.12548262548262545,2013-11-21
2013-11-22,46,0.07818532818532817,2013-11-22
2013-12-05,54,-0.21718146718146714,2013-12-05
2013-12-17,62,-0.2722007722007722,2013-12-17
2013-12-30,122,-0.11196911196911195,2013-12-30
2014-01-06,194,-0.20366795366795365,2014-01-06
2014-01-13,158,-0.16860124138605154,2014-01-13
2014-01-16,52,-0.25965250965250963,2014-01-16
2014-01-28,94,-0.5106177606177605,2014-01-28
2014-02-04,100,-0.15347490347490342,2014-02-04
2014-02-12,85,0.5994208494208493,2014-02-12
2014-02-21,113,-0.16119691119691118,2014-02-21
2014-03-03,96,-0.16795366795366792,2014-03-03
2014-03-28,51,0.008687258687258725,2014-03-28
2014-04-09,199,-0.17159639898333365,2014-04-09
2014-04-10,47,-0.14768339768339767,2014-04-10
2014-04-14,136,-0.0772200772200772,2014-04-14
2014-04-20,157,-0.14768339768339767,2014-04-20
2014-04-30,116,-0.25965250965250963,2014-04-30
2014-05-14,74,-0.4343629343629343,2014-05-14
2014-05-29,137,-0.3571428571428571,2014-05-29
2014-06-01,676,0.5077220077220077,2014-06-01
2014-06-03,117,-0.08397683397683396,2014-06-03
2014-06-04,146,0.050193050193050176,2014-06-04
2014-06-06,485,-0.11196911196911195,2014-06-06
2014-06-09,835,-0.20366795366795368,2014-06-09
2014-06-26,112,-0.03474903474903475,2014-06-26
2014-06-29,139,-0.2239382239382239,2014-06-29
2014-06-30,97,-0.21718146718146716,2014-06-30
2014-07-01,160,-0.15347490347490342,2014-07-01
2014-07-14,151,0.33783783783783783,2014-07-14
2014-07-23,203,0.19884169884169883,2014-07-23
2014-07-28,223,-0.09652509652509653,2014-07-28
2014-08-02,216,-0.194015444015444,2014-08-02
2014-08-04,214,-0.3359073359073359,2014-08-04
2014-08-06,284,-0.3561776061776061,2014-08-06
2014-08-10,344,0.2750965250965251,2014-08-10
2014-08-11,254,0.04343629343629346,2014-08-11
2014-08-21,233,-0.06274131274131273,2014-08-21
2014-08-22,191,-0.03474903474903475,2014-08-22
2014-08-24,216,0.11293436293436289,2014-08-24
2014-08-25,123,0.6264478764478764,2014-08-25
2014-09-13,275,0.5984555984555985,2014-09-13
2014-09-18,188,-0.1312741312741312,2014-09-18
2014-09-19,219,0.21814671814671815,2014-09-19
2014-09-20,349,0.4227799227799227,2014-09-20
2014-09-22,184,0.16988416988416982,2014-09-22
2014-10-10,380,0.16283275756959967,2014-10-10
2014-10-13,214,-0.09749034749034748,2014-10-13
2014-11-07,134,-0.1042471042471042,2014-11-07
2014-11-09,321,0.02123552123552125,2014-11-09
2014-11-10,181,0.3658301158301158,2014-11-10
2014-11-13,183,-0.43339768339768336,2014-11-13
